# nginx access log — prod-lb-us-east-1 — 2025-05-30
# format: $remote_addr - $remote_user [$time_local] "$request" $status $body_bytes_sent $request_time

10.0.1.42 - - [30/May/2025:14:20:03 +0000] "POST /checkout/initiate HTTP/1.1" 200 348 0.043
10.0.1.44 - - [30/May/2025:14:20:47 +0000] "POST /checkout/confirm HTTP/1.1" 200 214 0.041
10.0.1.51 - - [30/May/2025:14:21:12 +0000] "POST /checkout/initiate HTTP/1.1" 200 348 0.039
10.0.1.38 - - [30/May/2025:14:22:05 +0000] "POST /checkout/confirm HTTP/1.1" 200 214 0.044
10.0.1.60 - - [30/May/2025:14:23:31 +0000] "POST /checkout/initiate HTTP/1.1" 200 348 0.040
10.0.1.42 - - [30/May/2025:14:24:14 +0000] "POST /checkout/initiate HTTP/1.1" 200 348 0.038
10.0.1.55 - - [30/May/2025:14:25:02 +0000] "POST /checkout/confirm HTTP/1.1" 200 214 0.042
10.0.1.61 - - [30/May/2025:14:26:18 +0000] "POST /checkout/initiate HTTP/1.1" 200 348 0.041
10.0.1.48 - - [30/May/2025:14:27:44 +0000] "POST /checkout/initiate HTTP/1.1" 200 348 0.039
10.0.1.50 - - [30/May/2025:14:28:22 +0000] "POST /checkout/confirm HTTP/1.1" 200 214 0.043
10.0.1.44 - - [30/May/2025:14:29:03 +0000] "POST /checkout/initiate HTTP/1.1" 200 348 0.040
10.0.1.38 - - [30/May/2025:14:30:17 +0000] "POST /checkout/initiate HTTP/1.1" 200 348 0.041
10.0.1.52 - - [30/May/2025:14:31:02 +0000] "POST /checkout/confirm HTTP/1.1" 200 214 0.039

# --- 14:32 onward: 504s begin, request RATE unchanged (not a traffic surge) ---

10.0.1.42 - - [30/May/2025:14:32:01 +0000] "POST /checkout/initiate HTTP/1.1" 504 0 30.002
10.0.1.44 - - [30/May/2025:14:32:07 +0000] "POST /checkout/initiate HTTP/1.1" 200 348 0.045
10.0.1.51 - - [30/May/2025:14:32:09 +0000] "POST /checkout/confirm HTTP/1.1" 504 0 30.001
10.0.1.60 - - [30/May/2025:14:32:12 +0000] "POST /checkout/initiate HTTP/1.1" 504 0 30.003
10.0.1.38 - - [30/May/2025:14:32:15 +0000] "POST /checkout/initiate HTTP/1.1" 504 0 30.001
10.0.1.55 - - [30/May/2025:14:32:18 +0000] "POST /checkout/confirm HTTP/1.1" 504 0 30.002
10.0.1.61 - - [30/May/2025:14:32:21 +0000] "POST /checkout/initiate HTTP/1.1" 504 0 30.001
